advisor,advisor_churn,advisor_churn_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
1,0,no_advisor_churn,1,0,1,1,2,ria,1,va,4,6,242340930,7,39609,2,68,482237,87,5,746,25,Y,Yang
2,0,no_advisor_churn,0,1,1,0,0,bank,1,va,3,5,929356870,16,1414520,2,45,289600,86,1,691,22,V,Vasquez
3,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,5,7,79575523,8,86819,3,23,173788,93,1,816,1,A,Abbott
4,0,no_advisor_churn,1,0,0,1,0,bank,1,va,2,4,358900941,21,3351974,2,81,275857,92,4,522,2,B,Bost
5,0,no_advisor_churn,0,1,1,0,1,wirehouse,0,fixed,1,1,73539458,13,3860199,6,84,442839,96,5,821,2,B,Bost
6,0,no_advisor_churn,0,0,0,1,0,bank,1,va,1,2,79324621,18,4801299,3,25,480087,86,4,763,16,P,Patel
7,0,no_advisor_churn,0,1,0,1,0,bank,1,va,4,5,93151685,9,84421,3,20,58699,92,1,791,21,U,Underwood
8,0,no_advisor_churn,0,1,1,0,2,ria,1,va,1,1,465177928,8,380256,1,30,242276,84,3,783,13,M,Mambwe
9,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,3,3,3564298397,7,4248048,3,32,379373,90,4,774,10,J,Jasper
10,0,no_advisor_churn,0,0,1,1,0,bank,1,va,7,1,64857842,15,4962879,2,36,196590,91,3,753,15,O,Ojj
11,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,4,4978368253,10,3564876,1,24,235855,100,5,733,15,O,Ojj
12,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,6,3,948238214,9,1957444,2,54,253869,73,4,768,18,R,Rodriguez
13,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,4,40981619,7,4821931,1,45,227661,81,1,714,1,A,Abbott
14,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,5,0,81571970,16,3497868,3,87,159730,80,4,621,23,W,Werner
15,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,2,679244668,75,3309648,1,35,356139,71,0,806,8,H,Hassan
16,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,6,0,906370235,1,3225956,3,23,149966,89,4,772,20,T,Tavares
17,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,0,899042816,22,11654,3,48,117011,72,3,706,3,C,Chatterji
18,0,no_advisor_churn,0,1,1,1,0,bank,1,va,2,4,185636735,18,1842374,3,53,176720,64,4,778,13,M,Mambwe
19,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,2,565596714,8,1796177,2,23,402526,60,3,786,12,L,Lula
20,0,no_advisor_churn,0,0,0,0,2,ria,1,va,0,0,814588203,7,4881577,2,22,448646,96,5,796,2,B,Bost
21,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,2,2,59852589,14,33261,3,65,80193,84,5,766,22,V,Vasquez
22,0,no_advisor_churn,0,0,1,1,1,wirehouse,0,fixed,2,0,37336844,19,282998,4,47,224630,83,4,791,23,W,Werner
23,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,0,6,3404170522,9,3741116,2,42,55203,87,3,724,12,L,Lula
24,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,3,0,598246784,18,1636183,1,33,347961,73,5,777,10,J,Jasper
25,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,5,4,881934238,26,1355557,2,64,115169,89,4,850,24,X,Xavier
26,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,7,2,706811477,15,26367,1,67,89354,81,3,778,24,X,Xavier
27,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,4,743221718,16,436994,1,44,56388,81,2,712,16,P,Patel
28,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,7,36489404,15,1033129,1,29,75316,81,4,773,17,Q,Quigley
29,0,no_advisor_churn,1,1,1,0,0,bank,1,va,6,1,973095074,23,339113,1,76, ,85,2,791,10,J,Jasper
30,0,no_advisor_churn,0,1,1,1,0,bank,1,va,4,2,1998564262,14,3025034,2,40,149463,81,3,715,11,K,Kanumba
31,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,4,1,2443274798,20,1518188,3,34,86900,85,1,744,21,U,Underwood
32,0,no_advisor_churn,0,0,1,1,2,ria,1,va,3,0,771917263,18,3465696,3,27,415217,86,4,770,4,D,Devon
33,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,1,2,3658142549,11,430139,2,39,225680,89,2,788,10,J,Jasper
