account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,auto_owner,card_testing,city_state_match,synthetic_identity,income_high,non_military_disability,marital_status,living_status,credit_purpose,identity_match,military_status,application_day,num_dependents,job_industry,citizenship,region,self_id_race_ethnicity,application_hour,years_at_residence,age,debt_to_income,city_state,credit_utilization,num_transactions,credit_history_mos,credit_score,amount,credit_request_duration,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn,living_status_char,credit_purpose_char,identity_match_char,military_status_char,application_day_char,self_id_race_ethnicity_char,application_hour_char,city_state_char
1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,4,0,6,4,2,2,3,0,8,1,36,62,182,18,29,98,719,13977,1,292260,false,false,true,Media and Advertising,Mexico,India,female,nonsmoker,Married,215560201,mortgage,auto,excellent,none,Saturday,White/Caucasian,8AM,32.00°N 81.15°W
2,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,2,3,4,6,6,2,2,1,1,15,9,37,50,285,34,9,94,659,433936,71,379695,false,false,false,Media and Advertising,Mexico,Canada,male,smoker,Married,210506284,rent,consolidation,good,disabled,Saturday,Black/African-American,3PM,35.29°N 106.70°W
3,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,2,3,0,2,4,6,6,1,1,7,1,56,4,218,6,50,91,738,41377,64,104608,false,false,false,Manufacturing,Spain,Canada,male,nonsmoker,Married,717235223,mortgage,consolidation,good,none,Tuesday,Black/African-American,7AM,46.86°N 96.83°W
4,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,1,3,0,2,3,4,1,0,1,3,1,39,65,267,32,5,7,751,438922,24,275946,false,false,false,Hospitality,Canada,US,male,smoker,Divorced,681395536,mortgage,mortgage,good,none,Tuesday,Black/African-American,3AM,33.69°N 117.18°W
5,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,2,2,0,4,4,2,0,2,2,13,6,21,52,25,4,38,82,636,176234,4,142387,false,false,true,Media and Advertising,United States,Mexico,male,nonsmoker,Married,591078448,own,consolidation,fair,none,thrursday,Asian,1PM,42.34°N 71.02°W
6,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2,0,3,0,4,4,1,1,9,4,39,96,198,100,55,89,802,214331,10,64806,false,false,true,Hospitality,China,Canada,male,nonsmoker,Single,295942585,mortgage,mortgage,fair,none,Wednesday,Black/African-American,9AM,33.83°N 118.36°W
7,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,2,0,3,0,4,0,6,0,0,5,18,1,25,91,82,5,75,76,485,47561,21,204938,false,false,false,Manufacturing,United States,US,male,nonsmoker,Divorced,319167391,rent,auto,good,none,thrursday,Hispanic/Latino(a),6PM,32.63°N 117.02°W
8,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,2,4,2,7,4,0,5,1,45,58,252,1,15,76,831,10729,83,152592,false,true,false,Media and Advertising,South Africa,China,female,nonsmoker,Single,331294612,mortgage,auto,good,none,Tuesday,White/Caucasian,5AM,35.99°N 79.99°W
9,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,5,6,5,0,3,1,11,1,25,35,182,28,44,73,829,10013,19,159887,false,false,false,Healthcare,United States,India,male,smoker,Single,587393951,own,mortgage,good,none,Friday,Black/African-American,11AM,32.00°N 81.15°W
10,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,2,0,3,2,0,4,1,4,1,5,17,5,25,1,25,34,44,87,694,38133,34,161123,false,false,true,Energy,China,Canada,male,nonsmoker,Married,339252269,rent,auto,good,reserves,Sunday,Hispanic/Latino(a),5PM,42.34°N 71.02°W
