account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,auto_owner,card_testing,city_state_match,synthetic_identity,income_high,non_military_disability,marital_status,living_status,credit_purpose,identity_match,military_status,application_day,num_dependents,job_industry,citizenship,region,self_id_race_ethnicity,application_hour,years_at_residence,age,debt_to_income,city_state,credit_utilization,num_transactions,credit_history_mos,credit_score,amount,credit_request_duration,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn,living_status_char,credit_purpose_char,identity_match_char,military_status_char,application_day_char,self_id_race_ethnicity_char,application_hour_char,city_state_char
1,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,1,3,4,3,5,4,3,7,0,11,2,45,2,215,97,38,99,610,10063,1,290291,true,false,true,Hospitality,India,EU,male,nonsmoker,Married,417493265,rent,mortgage,good,disabled,Wednesday,White/Caucasian,11AM,33.05°N 96.98°W
2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,4,0,1,6,1,0,7,5,8,14,42,55,247,1,25,96,415,128051,45,232249,false,true,true,Energy,United States,EU,male,nonsmoker,Married,753412474,rent,auto,excellent,none,Monday,Hispanic/Latino(a),8AM,36.04°N 95.78°W
3,3,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,2,2,1,1,2,2,2,3,1,1,9,2,33,60,138,1,17,99,805,239317,10,434557,false,false,true,Media and Advertising,India,Canada,male,nonsmoker,Married,720061006,rent,consolidation,poor,active_duty,Tuesday,Black/African-American,9AM,34.18°N 118.25°W
4,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,4,3,7,1,1,10,1,43,110,292,84,90,8,790,38953,2,960384,false,false,false,Transportation,Zimbabwe,Canada,male,nonsmoker,Married,820181974,own,auto,good,none,Sunday,Black/African-American,10AM,33.43°N 112.64°W
5,3,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,2,1,4,3,2,3,3,5,1,0,9,1,49,66,147,18,39,85,758,435242,48,237012,false,false,true,Transportation,Brazil,Canada,male,smoker,Married,950336138,rent,mortgage,excellent,retired,Tuesday,White/Caucasian,9AM,32.47°N 93.79°W
6,3,0,1,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,3,0,2,7,2,2,5,0,8,24,33,65,170,10,2,85,777,187142,2,225973,false,false,false,Media and Advertising,Mexico,LATAM,female,nonsmoker,Divorced,527328222,mortgage,mortgage,good,none,Tuesday,White/Caucasian,8AM,37.63°N 122.10°W
7,3,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,4,1,0,5,3,5,6,2,0,13,1,41,90,329,28,59,81,734,172810,80,300898,false,false,false,Healthcare,Ireland,Mexico,male,nonsmoker,Married,344554307,mortgage,other,poor,none,Friday,White/Caucasian,1PM,39.76°N 121.82°W
8,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,1,2,3,0,3,4,1,6,3,0,20,5,34,95,68,49,20,70,783,21778,1,115186,false,false,false,Energy,Spain,India,male,nonsmoker,Divorced,302798407,mortgage,consolidation,good,none,Wednesday,White/Caucasian,8PM,40.44°N 79.98°W
9,3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,5,6,3,2,2,6,13,16,19,43,270,45,26,83,771,28878,10,135529,false,false,false,Transportation,Mexico,Mexico,female,nonsmoker,Married,932652231,own,consolidation,inconclusive,none,Friday,Multiracial,1PM,40.41°N 104.77°W
10,3,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,3,4,2,1,0,6,3,7,1,0,11,1,46,60,12,50,76,83,707,219477,12,269574,false,true,false,Transportation,Sudan,Canada,female,nonsmoker,Married,510944660,other,other,fair,active_duty,Sunday,White/Caucasian,11AM,32.78°N 97.35°W
11,3,0,0,1,1,0,1,1,1,0,0,1,1,0,0,2,1,2,3,2,4,1,7,1,4,6,19,1,32,13,259,49,46,80,684,163206,9,284524,false,false,true,Financial Services,Canada,China,male,nonsmoker,Divorced,725478950,mortgage,consolidation,good,reserves,thrursday,Multiracial,7PM,40.60°N 112.00°W
12,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,2,3,0,5,2,2,6,4,0,12,15,35,71,272,2,28,68,833,38035,1,315679,false,false,true,Media and Advertising,Denmark,China,male,nonsmoker,Married,659621708,rent,consolidation,good,none,Friday,White/Caucasian,12PM,30.08°N 94.15°W
13,3,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,2,4,4,0,1,3,7,2,4,16,10,47,15,254,90,41,99,742,328929,11,259146,false,false,true,Transportation,Tunisia,Mexico,male,smoker,Married,550393288,mortgage,consolidation,excellent,disabled,Sunday,Hawaiian/Pacific Islander,4PM,29.49°N 95.11°W
14,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,4,0,2,2,4,2,5,1,9,1,65,33,63,10,50,99,832,245242,2,124863,false,false,false,Hospitality,Mexico,LATAM,female,nonsmoker,Married,446856001,mortgage,auto,excellent,none,Tuesday,Black/African-American,9AM,33.68°N 117.77°W
15,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,3,0,5,3,0,0,2,0,7,1,20,34,181,3,63,13,407,22572,44,255044,true,false,false,Education,United States,Mexico,male,nonsmoker,Married,965369415,mortgage,consolidation,good,none,Friday,White/Caucasian,7AM,41.19°N 73.20°W
16,3,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,2,2,5,2,1,0,5,1,0,13,1,69,36,148,89,68,86,617,92686,1,146724,false,true,true,Education,Panama,Canada,female,smoker,Married,561241798,mortgage,consolidation,fair,wartime_vet,Tuesday,White/Caucasian,1PM,44.06°N 123.12°W
17,3,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,2,2,1,0,4,0,2,0,1,5,13,8,45,53,258,8,47,84,706,29457,3,168729,false,false,true,Media and Advertising,United States,Canada,male,nonsmoker,Married,438734388,rent,consolidation,poor,none,thrursday,Hispanic/Latino(a),1PM,41.56°N 73.04°W
18,3,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,2,4,4,0,4,7,7,5,7,10,1,25,7,275,37,68,8,422,58602,13,113905,false,true,false,Financial Services,Sudan,LATAM,female,nonsmoker,Married,813175900,own,consolidation,excellent,disabled,Sunday,Multiracial,10AM,33.25°N 112.37°W
19,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,0,3,4,4,4,1,3,0,6,13,37,40,33,318,47,39,93,620,408278,125,171990,false,false,true,Energy,India,US,male,smoker,Married,588689996,rent,auto,good,disabled,thrursday,Multiracial,1PM,40.56°N 74.29°W
20,3,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,2,1,3,0,6,0,2,2,3,5,9,4,27,32,11,45,4,67,785,3458,12,139662,true,false,false,Media and Advertising,Mexico,India,male,nonsmoker,Married,578976620,rent,mortgage,good,none,Saturday,Hispanic/Latino(a),9AM,30.30°N 97.75°W
21,3,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,2,4,0,2,2,3,5,2,0,3,19,33,76,44,34,41,80,813,85290,1,76948,false,false,true,Transportation,Paraguay,Mexico,female,nonsmoker,Married,236810520,mortgage,consolidation,excellent,none,Tuesday,White/Caucasian,3AM,33.78°N 118.17°W
22,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,3,4,7,3,1,2,9,10,26,16,114,50,2,90,798,9282,1,270865,false,false,false,Financial Services,India,Canada,female,nonsmoker,Married,394851588,mortgage,auto,fair,active_duty,Wednesday,Asian,9AM,40.78°N 111.93°W
23,3,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,2,2,2,1,5,3,0,0,1,0,16,1,44,107,182,43,42,58,646,276851,26,434619,false,false,true,Education,United States,Canada,female,nonsmoker,Married,431352006,rent,consolidation,fair,active_duty,Friday,White/Caucasian,4PM,32.00°N 81.15°W
24,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,2,2,3,0,3,6,4,0,0,4,9,1,27,82,228,2,23,88,770,75379,11,87568,false,true,false,Hospitality,United States,US,male,nonsmoker,Married,243549117,rent,consolidation,good,none,Wednesday,Hawaiian/Pacific Islander,9AM,39.03°N 95.69°W
25,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,2,4,0,6,1,7,4,1,0,17,27,27,19,159,46,15,93,807,36861,143,220513,true,false,false,Financial Services,China,Canada,male,nonsmoker,Married,626844250,mortgage,consolidation,excellent,none,Saturday,White/Caucasian,5PM,35.85°N 86.42°W
26,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,4,5,2,0,4,4,2,0,10,14,32,62,209,36,30,85,796,95780,11,289632,false,false,true,Hospitality,China,Mexico,male,smoker,Married,822796067,mortgage,consolidation,excellent,wartime_vet,Tuesday,White/Caucasian,10AM,39.78°N 84.20°W
27,3,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,2,4,0,5,1,4,5,3,0,4,1,24,13,174,36,45,95,850,6796,1,254536,false,false,true,Hospitality,Uruguay,India,male,nonsmoker,Married,483686383,mortgage,consolidation,excellent,none,Friday,White/Caucasian,4AM,42.12°N 72.54°W
28,3,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2,2,3,0,3,4,3,4,3,0,12,5,19,56,155,8,79,67,846,21936,9,166085,false,true,false,Transportation,China,India,female,smoker,Married,307563527,rent,consolidation,good,none,Wednesday,White/Caucasian,12PM,37.19°N 93.29°W
29,3,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,1,3,4,2,2,7,5,1,1,37,74,39,4,66,76,792,425854,8,494366,false,false,true,Media and Advertising,Mexico,EU,female,nonsmoker,Married,734124919,own,auto,fair,active_duty,Wednesday,Hispanic/Latino(a),1AM,38.87°N 104.76°W
30,3,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,2,0,2,5,7,0,10,39,38,14,35,59,36,94,773,37800,1,291399,false,false,false,Media and Advertising,Colombia,EU,male,nonsmoker,Married,224519515,own,auto,poor,none,Tuesday,White/Caucasian,10AM,38.57°N 121.47°W
31,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,2,1,3,0,5,0,4,4,1,3,10,6,65,54,44,56,15,12,710,424930,145,284791,false,false,true,Hospitality,China,Canada,male,smoker,Married,713710495,rent,mortgage,good,none,Friday,Indigenous/Native American,10AM,33.78°N 118.17°W
32,3,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,4,3,0,7,7,1,4,5,9,1,31,62,101,94,39,76,720,79511,9,75482,false,false,true,Financial Services,Canada,China,male,nonsmoker,Married,263613548,mortgage,mortgage,excellent,retired,Sunday,Hispanic/Latino(a),9AM,33.16°N 96.82°W
33,3,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,4,0,1,2,7,1,0,1,14,38,52,88,112,37,18,22,608,478455,57,260510,true,false,false,Financial Services,Canada,US,female,smoker,Married,191949996,mortgage,auto,excellent,none,Monday,Black/African-American,2PM,41.57°N 93.61°W
34,3,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,4,5,5,6,2,3,4,6,13,1,20,51,273,37,49,92,601,493089,1,267591,true,true,true,Media and Advertising,India,China,male,nonsmoker,Married,466924124,mortgage,mortgage,excellent,wartime_vet,Friday,Multiracial,1PM,42.71°N 84.56°W
35,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,4,0,2,5,2,0,7,1,9,1,59,100,105,27,42,58,779,252932,6,65794,false,false,false,Media and Advertising,United States,EU,male,nonsmoker,Married,630625902,rent,mortgage,excellent,none,Tuesday,Black/African-American,9AM,47.25°N 122.46°W
36,3,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,3,0,6,0,2,2,5,1,4,1,52,35,66,83,48,68,751,24992,7,281993,false,false,false,Media and Advertising,Mexico,LATAM,female,smoker,Married,976083003,mortgage,auto,good,none,Saturday,Black/African-American,4AM,40.72°N 74.17°W
37,3,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,3,5,6,7,2,4,7,7,11,4,53,26,123,6,43,83,767,23985,1,450844,false,false,false,Media and Advertising,China,EU,female,nonsmoker,Married,927233774,mortgage,auto,good,wartime_vet,Saturday,Multiracial,11AM,32.51°N 84.87°W
