account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,0,0,0,1,1,0,0,0,1,1,2,3,0,2,40,32,31,59,88,830,139195,141109,false,false,false,Transportation,US,Florida,male,nonsmoker,Married,311326993
2,0,0,0,0,0,0,0,1,0,1,6,6,7,1,28,31,79,60,95,800,14390,175745,false,false,false,Manufacturing,Other,New York,male,nonsmoker,Married,948110564
3,0,0,0,1,1,0,0,1,1,1,0,1,1,4,1,78,80,63,100,777,11365,269218,false,false,false,Energy,LATAM,NE,male,nonsmoker,Married,353727168
4,0,0,1,1,1,1,1,1,1,0,5,2,0,4,1,24,70,27,91,729,351814,449194,false,false,false,Media and Advertising,US,NE,female,smoker,Single,188634882
5,0,0,1,1,1,0,1,0,1,2,3,4,0,6,13,41,30,36,88,772,302031,857319,false,false,false,Hospitality,US,MidWest,female,nonsmoker,Divorced,393033419
6,0,0,1,0,1,0,0,1,0,1,3,7,6,1,3,22,83,56,67,734,317003,391893,false,false,false,Financial Services,China,New York,female,nonsmoker,Married,685514470
7,0,0,1,0,1,0,0,1,0,1,2,2,5,1,1,61,32,74,93,767,46742,142328,false,false,true,Media and Advertising,India,New York,female,nonsmoker,Married,855406641
8,0,0,0,1,0,0,1,0,0,1,4,6,4,4,1,68,23,46,71,796,5327,242127,false,false,true,Manufacturing,Africa,NE,male,nonsmoker,Married,231842362
9,0,0,0,1,1,1,0,0,0,2,3,2,7,1,1,37,78,55,87,785,28831,291993,false,false,false,Media and Advertising,Other,New York,male,smoker,Divorced,252651400
10,0,0,1,1,0,1,1,1,1,2,2,3,5,6,30,80,69,36,98,762,492445,135926,false,false,true,Transportation,India,MidWest,female,smoker,Divorced,513137555
11,0,0,1,1,1,0,1,1,0,1,1,1,5,5,2,26,34,35,99,738,18743,377143,false,true,false,Energy,India,South,female,nonsmoker,Married,239633795
12,0,0,1,1,1,0,1,1,0,2,6,2,1,6,1,29,54,48,95,769,41836,237179,false,false,false,Media and Advertising,LATAM,MidWest,female,nonsmoker,Divorced,758518178
13,0,0,0,1,0,1,0,0,0,0,4,2,7,4,1,57,33,25,84,467,1145,82960,false,false,false,Media and Advertising,Other,NE,male,smoker,Single,310763870
14,0,0,0,1,0,0,0,1,1,2,3,4,0,5,1,59,55,23,76,636,23751,240062,false,false,true,Hospitality,US,South,male,nonsmoker,Divorced,331750409
15,0,0,1,1,0,0,0,1,1,1,3,4,1,0,3,45,57,41,93,754,404003,911118,false,false,false,Hospitality,LATAM,California,female,nonsmoker,Married,948122178
16,0,0,0,0,1,1,0,1,0,1,3,1,5,0,1,44,69,30,77,830,196965,137662,false,false,true,Energy,India,California,male,smoker,Married,571599140
17,0,0,1,0,1,0,0,0,0,1,3,2,3,4,1,31,38,68,88,654,17869,725843,false,false,false,Media and Advertising,Middle East,NE,female,nonsmoker,Married,211060818
18,0,0,0,0,0,1,1,0,1,1,0,1,7,1,1,40,47,41,58,727,48564,106099,false,false,false,Energy,Other,New York,male,smoker,Married,882543459
19,0,0,0,0,1,0,0,1,0,2,5,1,4,0,1,37,52,38,87,794,344926,63321,false,false,false,Energy,Africa,California,male,nonsmoker,Divorced,767113502
20,0,0,0,0,1,0,0,1,0,1,4,6,7,5,1,46,28,39,86,832,190379,375447,false,false,true,Manufacturing,Other,South,male,nonsmoker,Married,846754261
21,0,0,1,1,1,0,0,1,0,1,3,3,3,3,1,39,68,55,78,626,34801,435426,true,false,false,Transportation,Middle East,Texas,female,nonsmoker,Married,272310808
22,0,0,0,1,1,0,1,1,0,1,6,3,7,3,1,67,49,65,86,786,218104,484981,false,false,false,Transportation,Other,Texas,male,nonsmoker,Married,355377467
23,0,0,1,1,0,1,0,0,1,1,1,4,5,2,6,23,92,73,89,632,328412,290275,false,false,false,Hospitality,India,Florida,female,smoker,Married,144521161
24,0,0,0,1,1,1,1,0,1,1,3,4,2,3,1,43,6,70,72,705,320105,553059,false,false,true,Hospitality,EU,Texas,male,smoker,Married,332156671
25,0,0,1,1,1,1,0,1,0,2,5,4,6,5,1,40,26,46,98,761,38763,94939,false,false,false,Hospitality,China,South,female,smoker,Divorced,718303505
26,0,0,0,0,1,1,0,0,0,1,3,4,4,6,4,24,49,62,99,824,232058,78501,false,false,false,Hospitality,Africa,MidWest,male,smoker,Married,732430442
27,0,0,1,1,1,1,0,0,0,1,3,1,6,2,2,23,58,63,97,736,448812,103279,false,false,true,Energy,China,Florida,female,smoker,Married,625853406
28,0,0,1,1,1,0,0,1,1,1,3,6,5,0,1,43,31,10,89,791,420841,163292,false,false,true,Manufacturing,India,California,female,nonsmoker,Married,170003167
29,0,0,0,1,0,0,0,1,1,1,2,3,6,2,1,40,20,38,46,761,41479,366490,false,false,true,Transportation,China,Florida,male,nonsmoker,Married,569332841
30,0,0,0,0,1,0,0,1,1,1,5,7,3,6,1,39,69,24,62,767,383645,981711,false,false,false,Financial Services,Middle East,MidWest,male,nonsmoker,Married,180943794
31,0,0,0,0,1,1,0,1,0,1,2,6,6,4,3,70,47,40,85,703,201366,299077,false,false,true,Manufacturing,China,NE,male,smoker,Married,461440462
32,0,0,0,1,1,0,0,1,0,2,5,0,5,0,1,39,39,55,72,694,237855,176964,false,false,false,Education,India,California,male,nonsmoker,Divorced,742115228
33,0,0,1,0,0,0,0,0,0,1,6,2,5,3,1,25,85,65,91,744,37144,241890,false,false,false,Media and Advertising,India,Texas,female,nonsmoker,Married,412557920
34,0,0,0,1,0,0,1,0,0,1,1,2,0,6,1,21,41,14,73,792,10677,291176,true,false,false,Media and Advertising,US,MidWest,male,nonsmoker,Married,825142961
35,0,0,1,1,0,1,0,1,0,1,2,6,1,3,13,31,52,40,82,799,44908,151417,false,false,false,Manufacturing,LATAM,Texas,female,smoker,Married,179527745
36,0,0,1,0,1,0,0,1,1,1,2,4,1,1,1,48,46,69,50,735,25914,62811,false,false,false,Hospitality,LATAM,New York,female,nonsmoker,Married,391988171
37,0,0,1,0,0,0,0,1,0,1,6,1,5,0,1,30,39,55,93,837,21401,59553,false,true,false,Energy,India,California,female,nonsmoker,Married,512556345
38,0,0,0,0,1,0,0,0,0,0,1,7,4,7,1,27,54,47,96,754,192875,395373,false,false,false,Financial Services,Africa,West,male,nonsmoker,Single,720486550
39,0,0,0,0,1,1,0,0,0,2,0,1,3,3,10,54,85,40,66,709,412036,404190,false,false,false,Energy,Middle East,Texas,male,smoker,Divorced,881280594
40,0,0,0,1,1,1,0,1,0,1,6,7,2,4,1,43,31,14,75,601,26847,482806,false,false,false,Financial Services,EU,NE,male,smoker,Married,319647403
41,0,0,0,0,0,0,1,0,1,1,7,5,4,4,1,56,16,69,94,800,18378,552733,false,false,true,Healthcare,Africa,NE,male,nonsmoker,Married,748922924
