account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,4,0,1,1,1,1,0,1,1,1,0,1,4,0,1,40,60,10,96,848,27977,278438,true,false,false,Energy,Africa,California,female,smoker,Married,452026060
2,4,0,0,0,1,0,0,1,1,1,5,1,1,4,21,65,16,34,85,675,402306,213921,false,false,false,Energy,LATAM,NE,male,nonsmoker,Married,140324846
3,4,0,1,1,1,1,0,1,0,2,1,5,0,4,1,24,19,47,98,477,480451,284255,false,false,true,Healthcare,US,NE,female,smoker,Divorced,760320082
4,4,0,1,1,0,0,0,1,0,0,2,7,4,0,1,43,47,31,71,398,72440,191031,false,false,true,Financial Services,Africa,California,female,nonsmoker,Single,891674295
5,4,0,0,1,1,1,1,0,0,1,4,5,4,4,1,23,61,46,90,728,51461,297648,false,false,true,Healthcare,Africa,NE,male,smoker,Married,124165474
6,4,0,0,0,1,0,0,1,1,1,5,3,7,4,1,27,6,0,92,728,39892,580776,false,true,true,Transportation,Other,NE,male,nonsmoker,Married,678187195
7,4,0,0,1,1,0,0,1,0,1,4,1,0,6,1,59,100,57,85,709,32058,437376,false,true,false,Energy,US,MidWest,male,nonsmoker,Married,954644627
8,4,0,0,1,1,0,0,1,0,1,2,5,4,5,1,28,28,50,63,693,41265,204828,true,false,false,Healthcare,Africa,South,male,nonsmoker,Married,618940122
9,4,0,0,1,0,0,0,0,1,1,1,2,7,4,17,52,39,38,97,703,58710,808846,false,true,false,Media and Advertising,Other,NE,male,nonsmoker,Married,981033016
10,4,0,0,0,0,0,0,0,1,1,0,1,7,0,17,54,33,72,85,763,60770,203594,false,false,false,Energy,Other,California,male,nonsmoker,Married,798292940
11,4,0,1,0,1,0,0,1,1,2,3,0,7,3,1,29,22,31,89,726,3826,97622,false,true,false,Education,Other,Texas,female,nonsmoker,Divorced,196470455
