account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,0,0,0,0,1,0,0,1,1,0,2,2,0,6,26,49,5,74,23,729,325888,108135,false,false,false,Media and Advertising,United States,Indiana,male,nonsmoker,Single,942110909
2,0,0,1,1,0,1,0,0,1,2,5,0,6,4,1,38,25,9,77,375,89967,129608,false,false,false,Education,Germany,Rhode Island,female,smoker,Divorced,448173343
3,0,0,0,1,0,0,1,1,0,1,3,6,3,5,1,34,72,32,87,732,2974,117771,false,false,false,Manufacturing,India,Kentucky,male,nonsmoker,Married,667404778
4,0,0,0,1,0,0,0,1,1,1,0,4,5,6,26,72,41,31,87,736,387952,115593,false,false,false,Hospitality,Uruguay,Indiana,male,nonsmoker,Married,925991845
5,0,0,1,0,0,0,0,0,1,1,1,4,0,4,27,36,73,39,100,709,18185,193846,false,false,true,Hospitality,United States,Vermont,female,nonsmoker,Married,344763703
6,0,0,0,0,0,0,0,1,1,1,1,4,3,1,1,68,52,44,82,797,207031,132244,false,true,false,Hospitality,India,New York,male,nonsmoker,Married,739891445
7,0,0,0,0,0,0,1,1,0,1,5,2,1,2,1,27,42,49,69,733,370569,175517,false,false,false,Media and Advertising,Mexico,Florida,male,nonsmoker,Married,703569163
8,0,0,0,0,0,0,0,1,0,1,2,3,0,7,1,33,58,32,59,835,129814,262887,false,false,false,Transportation,United States,Kansas,male,nonsmoker,Married,923286519
9,0,0,1,0,0,1,0,0,1,1,2,1,1,2,5,36,4,33,47,501,13701,371951,false,false,true,Energy,Canada,Florida,female,smoker,Married,213072163
10,0,0,0,0,1,1,0,1,0,0,3,4,6,7,1,58,20,16,83,747,149063,233932,false,false,true,Hospitality,Spain,Oregon,male,smoker,Single,690639022
11,0,0,1,1,1,0,1,0,0,1,1,6,1,0,19,73,106,4,51,837,291164,99340,false,false,true,Manufacturing,Canada,California,female,nonsmoker,Married,166303232
12,0,0,0,1,1,0,0,1,0,2,7,1,4,3,15,38,34,52,90,832,18948,150565,false,false,true,Energy,China,Texas,male,nonsmoker,Divorced,737060516
13,0,0,0,1,1,0,0,1,0,1,5,2,7,5,30,77,50,72,82,775,34583,187579,true,false,false,Media and Advertising,Egypt,West Virginia,male,nonsmoker,Married,361027328
14,0,0,1,1,1,0,1,0,1,1,4,4,2,4,2,54,82,62,77,787,1092,213140,false,false,true,Hospitality,Mexico,Vermont,female,nonsmoker,Married,891437310
15,0,0,1,1,1,0,0,1,1,1,1,7,4,0,7,40,68,46,99,803,2190,214811,false,false,false,Financial Services,China,California,female,nonsmoker,Married,710087725
16,0,0,0,0,1,0,0,0,0,2,5,2,7,4,1,45,38,10,95,837,45996,357400,false,false,false,Media and Advertising,Tunisia,Massachusetts,male,nonsmoker,Divorced,489201374
17,0,0,0,0,1,0,1,0,0,1,6,7,4,3,1,36,74,50,98,719,240725,155394,false,false,true,Financial Services,China,Texas,male,nonsmoker,Married,346726146
18,0,0,0,0,1,0,1,0,0,2,5,4,6,2,4,41,38,40,74,775,215588,275235,false,false,false,Hospitality,France,Florida,male,nonsmoker,Divorced,156788624
19,0,0,0,0,1,0,0,0,1,2,6,5,4,0,1,26,9,60,90,792,625,105175,false,false,false,Healthcare,China,California,male,nonsmoker,Divorced,263323487
20,0,0,1,0,0,0,0,1,1,0,1,5,0,1,1,54,10,40,95,771,43297,253223,false,false,false,Healthcare,United States,New York,female,nonsmoker,Single,892516346
21,0,0,1,0,1,0,0,0,0,2,5,1,2,1,1,21,63,34,74,780,4376,79039,false,false,false,Energy,Mexico,New York,female,nonsmoker,Divorced,424595604
22,0,0,1,1,1,0,0,0,0,1,6,6,7,0,1,42,56,64,49,608,298474,652381,true,false,false,Manufacturing,Tunisia,California,female,nonsmoker,Married,436211402
23,0,0,0,1,1,0,0,1,0,1,5,2,1,1,18,21,36,41,88,724,83516,121547,true,false,true,Media and Advertising,Canada,New York,male,nonsmoker,Married,469096771
