account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,auto_owner,card_testing,city_state_match,synthetic_identity,income_high,non_military_disability,marital_status,living_status,credit_purpose,identity_match,military_status,application_day,num_dependents,job_industry,citizenship,region,self_id_race_ethnicity,application_hour,years_at_residence,age,debt_to_income,city_state,credit_utilization,num_transactions,credit_history_mos,credit_score,amount,credit_request_duration,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn,living_status_char,credit_purpose_char,identity_match_char,military_status_char,application_day_char,self_id_race_ethnicity_char,application_hour_char,city_state_char
1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,2,0,4,0,2,0,3,4,3,2,9,1,50,33,3,1,42,62,646,422520,9,170133,true,false,false,Transportation,China,India,female,nonsmoker,Married,220462202,rent,auto,excellent,none,Tuesday,Asian,9AM,41.84°N 87.68°W
2,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,2,1,0,2,0,2,5,0,2,5,5,18,5,38,41,254,68,42,92,764,235020,22,259175,false,false,false,Education,Mexico,LATAM,female,smoker,Divorced,898709314,mortgage,auto,fair,none,Tuesday,Hispanic/Latino(a),6PM,29.49°N 95.11°W
3,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,2,1,2,3,0,2,5,5,7,5,0,19,5,41,100,88,6,50,62,731,114769,1,489984,false,false,false,Healthcare,Ethiopia,LATAM,female,smoker,Divorced,644068153,mortgage,consolidation,good,none,Tuesday,White/Caucasian,7PM,32.86°N 96.97°W
4,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,3,1,3,4,5,2,1,3,11,1,38,18,181,32,47,99,796,497408,1,486008,false,false,false,Healthcare,Mexico,Canada,male,nonsmoker,Married,327227456,mortgage,auto,good,active_duty,Wednesday,Indigenous/Native American,11AM,41.19°N 73.20°W
5,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,2,0,6,0,0,6,5,3,4,19,37,42,191,31,26,68,768,157,118,259096,false,false,false,Education,Sweden,LATAM,male,nonsmoker,Married,794356951,mortgage,mortgage,fair,none,Saturday,Indigenous/Native American,4AM,36.33°N 119.33°W
6,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,2,1,0,2,5,2,5,0,1,11,1,41,27,184,47,67,82,784,67224,15,236620,false,false,false,Media and Advertising,Bolivia,US,female,nonsmoker,Married,797586930,rent,consolidation,poor,none,Tuesday,Black/African-American,11AM,32.76°N 96.59°W
7,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,2,1,1,3,0,0,1,5,6,4,0,19,1,19,94,242,31,72,62,575,39785,12,506575,false,true,true,Healthcare,France,China,male,nonsmoker,Divorced,692242427,mortgage,mortgage,good,none,Sunday,White/Caucasian,7PM,39.09°N 94.35°W
8,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,4,3,0,5,7,3,7,1,0,4,1,53,10,125,38,50,8,788,121142,4,591225,false,false,false,Transportation,Botswana,Canada,female,nonsmoker,Married,620692928,mortgage,other,good,none,Friday,White/Caucasian,4AM,33.79°N 112.31°W
9,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,2,1,3,0,4,4,1,1,3,1,16,1,59,43,178,34,37,91,584,47138,7,121387,false,false,false,Energy,Canada,India,male,nonsmoker,Married,338772997,rent,mortgage,good,none,thrursday,Black/African-American,4PM,41.52°N 88.15°W
10,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,0,3,0,3,2,5,5,5,6,10,4,66,61,196,1,13,68,744,40938,142,247926,false,false,false,Healthcare,Chile,LATAM,male,nonsmoker,Divorced,164074399,mortgage,auto,good,none,Wednesday,Multiracial,10AM,40.08°N 74.20°W
11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,3,4,2,5,1,4,1,4,18,1,50,57,41,29,84,20,761,82234,1,283792,false,false,false,Energy,China,Canada,male,nonsmoker,Married,908309118,mortgage,other,good,disabled,Tuesday,Hawaiian/Pacific Islander,6PM,35.83°N 78.64°W
12,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,4,4,1,5,3,4,1,1,19,1,71,55,333,47,45,82,824,463183,10,142707,false,false,false,Transportation,China,Canada,male,smoker,Married,621872702,mortgage,mortgage,excellent,disabled,Monday,Black/African-American,7PM,41.66°N 70.94°W
13,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,3,0,6,1,4,4,7,5,13,1,37,47,175,82,38,82,733,40210,13,316880,false,false,false,Hospitality,China,EU,female,nonsmoker,Married,814699359,rent,auto,good,none,Saturday,Hispanic/Latino(a),1PM,39.12°N 94.74°W
14,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,3,0,2,7,4,7,1,2,5,15,64,82,110,35,98,89,823,105196,61,404922,false,false,true,Hospitality,Sudan,Canada,male,smoker,Single,257681193,own,mortgage,good,none,Tuesday,Asian,5AM,33.20°N 96.66°W
15,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2,2,2,0,2,5,1,0,1,2,8,36,46,41,56,49,71,97,734,93404,9,268465,false,false,false,Energy,United States,Canada,female,nonsmoker,Married,722293284,rent,consolidation,fair,none,Tuesday,Asian,8AM,33.86°N 117.76°W
16,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,2,2,3,0,0,3,6,5,4,4,16,4,36,44,86,0,45,76,725,1934,26,413194,false,false,true,Manufacturing,Uruguay,China,female,nonsmoker,Single,513271377,rent,consolidation,good,none,Sunday,Hawaiian/Pacific Islander,4PM,27.77°N 82.64°W
