account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,2,0,0,1,1,0,0,1,1,1,4,5,6,0,26,31,15,53,87,704,197044,61530,false,false,false,Healthcare,China,California,male,nonsmoker,Married,313136336
2,2,0,0,0,1,0,0,1,1,1,4,5,5,4,1,58,100,9,90,441,27919,135427,false,false,true,Healthcare,India,NE,male,nonsmoker,Married,380795768
3,2,0,0,0,1,0,0,1,0,1,5,7,2,1,11,41,60,41,68,764,33177,171197,true,false,false,Financial Services,EU,New York,male,nonsmoker,Married,497379852
4,2,0,0,0,1,0,0,1,1,1,3,1,3,2,1,37,19,54,62,769,9338,621833,false,true,false,Energy,Middle East,Florida,male,nonsmoker,Married,383516193
5,2,0,1,0,0,1,0,0,0,0,1,2,0,4,1,38,71,28,93,775,35371,444139,false,true,false,Media and Advertising,US,NE,female,smoker,Single,797394971
6,2,0,1,1,1,0,0,1,1,2,4,6,6,1,1,40,24,46,32,836,99885,388074,false,false,false,Manufacturing,China,New York,female,nonsmoker,Divorced,848181823
7,2,0,1,0,1,1,0,0,1,1,3,6,5,4,1,54,37,38,88,731,403998,285491,false,false,true,Manufacturing,India,NE,female,smoker,Married,290939612
8,2,0,1,0,1,0,0,0,1,1,5,4,7,3,4,55,76,32,72,647,231097,221685,false,false,false,Hospitality,Other,Texas,female,nonsmoker,Married,484470187
9,2,0,1,1,1,1,0,1,0,1,1,0,5,1,18,44,29,7,90,716,19111,277850,false,false,true,Education,India,New York,female,smoker,Married,131201035
10,2,0,1,1,1,0,0,1,1,1,0,6,6,5,1,23,39,34,81,734,27529,245679,false,false,true,Manufacturing,China,South,female,nonsmoker,Married,198449204
11,2,0,1,1,1,0,0,1,1,2,1,2,4,4,1,47,31,75,69,788,141344,449112,true,false,false,Media and Advertising,Africa,NE,female,nonsmoker,Divorced,643476453
12,2,0,0,0,1,1,0,0,0,2,4,7,7,1,1,70,73,9,85,835,443770,114891,false,true,false,Financial Services,Other,New York,male,smoker,Divorced,227844502
13,2,0,0,0,0,0,0,0,1,2,1,7,5,3,5,77,82,2,88,785,66495,94012,false,false,true,Financial Services,India,Texas,male,nonsmoker,Divorced,851094251
14,2,0,1,0,1,1,0,0,1,2,0,6,1,2,8,34,5,26,82,712,242129,163060,false,true,false,Manufacturing,LATAM,Florida,female,smoker,Divorced,512322191
15,2,0,0,1,1,0,0,1,1,1,2,4,6,1,33,40,46,50,76,786,275459,200041,true,false,false,Hospitality,China,New York,male,nonsmoker,Married,597099614
16,2,0,0,1,1,1,0,0,0,1,2,3,4,1,1,27,100,39,66,811,64513,257379,false,false,false,Transportation,Africa,New York,male,smoker,Married,558064961
17,2,0,1,1,0,1,0,1,1,1,5,1,0,4,5,72,25,69,74,611,86078,160281,false,false,false,Energy,US,NE,female,smoker,Married,962519559
18,2,0,0,1,0,0,0,1,0,1,6,2,3,1,1,41,48,66,81,643,23961,94223,false,true,true,Media and Advertising,Middle East,New York,male,nonsmoker,Married,234598069
19,2,0,1,1,1,0,0,0,0,1,1,2,0,5,14,19,71,23,15,634,394052,426226,false,false,true,Media and Advertising,US,South,female,nonsmoker,Married,738244443
20,2,0,0,1,0,0,1,1,1,1,1,1,7,2,3,44,69,48,95,799,411088,345501,false,false,false,Energy,Other,Florida,male,nonsmoker,Married,875471445
21,2,0,0,0,1,1,0,0,0,1,5,5,6,2,2,71,105,48,98,822,100063,119829,false,true,false,Healthcare,China,Florida,male,smoker,Married,354481209
22,2,0,0,1,1,1,0,1,0,1,6,1,5,2,16,28,53,48,94,659,81825,597900,false,false,false,Energy,India,Florida,male,smoker,Married,740486742
23,2,0,0,0,1,0,0,0,0,1,3,4,1,4,19,23,61,16,82,603,88050,475214,true,true,false,Hospitality,LATAM,NE,male,nonsmoker,Married,530468757
24,2,0,0,1,1,1,0,1,0,2,3,4,7,2,15,54,59,52,74,841,75290,111452,false,false,false,Hospitality,Other,Florida,male,smoker,Divorced,652533475
25,2,0,0,1,0,1,0,1,1,1,1,0,0,0,8,45,26,77,68,790,6687,220007,false,false,false,Education,US,California,male,smoker,Married,382587081
26,2,0,1,1,1,0,0,1,1,1,3,3,7,1,3,37,58,57,59,772,454092,94965,false,true,true,Transportation,Other,New York,female,nonsmoker,Married,470977593
27,2,0,0,1,1,1,0,0,1,1,5,3,7,0,15,45,83,47,72,789,153846,173922,false,false,false,Transportation,Other,California,male,smoker,Married,983878105
28,2,0,0,1,1,1,0,1,1,1,0,1,5,1,1,31,56,8,67,450,96130,294222,false,false,true,Energy,India,New York,male,smoker,Married,669551076
29,2,0,0,0,1,0,0,1,1,2,1,4,4,7,1,37,71,53,84,713,37564,239119,false,true,true,Hospitality,Africa,West,male,nonsmoker,Divorced,607225692
